LAT,LON,X,Y,D,SLIP,RAKE,STRIKE,DIP,L,W
39.1566,143.7163,74.7891,117.025,5.2183,13.7054,"81","193","8","50","25"
38.7182,143.5877,63.5416,68.3065,5.2183,22.4255,"81","193","8","50","25"
38.2798,143.4591,52.294,19.588,5.2183,37.3812,"81","193","8","50","25"
37.8413,143.3304,41.0465,-29.1305,5.2183,14.9323,"81","193","8","50","25"
37.4029,143.2018,29.7989,-77.849,5.2183,19.1271,"81","193","8","50","25"
39.1816,143.5734,62.2932,119.804,7,6.6532,"81","193","10","50","50"
38.7432,143.4448,51.0457,71.0855,7,16.8963,"81","193","10","50","50"
38.3048,143.3161,39.7981,22.3669,7,26.552,"81","193","10","50","50"
37.8664,143.1875,28.5506,-26.3516,7,24.6737,"81","193","10","50","50"
37.4279,143.0589,17.303,-75.0701,7,18.059,"81","193","10","50","50"
39.2816,143.0181,13.7392,130.9093,15.6,0,"81","193","12","50","50"
38.8432,142.8895,2.4917,82.1908,15.6,13.1436,"81","193","12","50","50"
38.4047,142.7609,-8.7559,33.4722,15.6,15.5484,"81","193","12","50","50"
37.9663,142.6322,-20.0034,-15.2463,15.6,21.5794,"81","193","12","50","50"
37.5279,142.5036,-31.251,-63.9648,15.6,10.8719,"81","193","12","50","50"
