LAT,LON,X,Y,D,SLIP,RAKE,STRIKE,DIP,L,W
38.1566,143.2163,74.7891,117.025,5.2183,10.27905,81,193,8,50,25
37.7182,143.0877,63.5416,68.3065,5.2183,16.819125,81,193,8,50,25
37.2798,142.9591,52.294,19.588,5.2183,28.0359,81,193,8,50,25
36.8413,142.8304,41.0465,-29.1305,5.2183,11.199225,81,193,8,50,25
36.4029,142.7018,29.7989,-77.849,5.2183,14.345325,81,193,8,50,25
38.1816,143.0734,62.2932,119.804,7,4.9899,81,193,10,50,50
37.7432,142.9448,51.0457,71.0855,7,12.672225,81,193,10,50,50
37.3048,142.8161,39.7981,22.3669,7,19.914,81,193,10,50,50
36.8664,142.6875,28.5506,-26.3516,7,18.505275,81,193,10,50,50
36.4279,142.5589,17.303,-75.0701,7,13.54425,81,193,10,50,50
38.2816,142.5181,13.7392,130.9093,15.6,0,81,193,12,50,50
37.8432,142.3895,2.4917,82.1908,15.6,9.8577,81,193,12,50,50
37.4047,142.2609,-8.7559,33.4722,15.6,11.6613,81,193,12,50,50
36.9663,142.1322,-20.0034,-15.2463,15.6,16.18455,81,193,12,50,50
36.5279,142.0036,-31.251,-63.9648,15.6,8.153925,81,193,12,50,50
